reponame,time_avg,n
senghoo/golang-design-pattern,40.0,1
whyrusleeping/gx,57.166666666666664,6
jwilder/docker-squash,54.0,1
go-telegram-bot-api/telegram-bot-api,32.875,8
GeertJohan/go.rice,12.833333333333334,6
arduino/arduino-cli,124.4,10
cdarwin/go-koans,14.0,1
Azure/golua,18.0,2
bxcodec/go-clean-arch,49.0,1
goadapp/goad,61.333333333333336,6
shopspring/decimal,13.6,5
elastic/logstash-forwarder,144.5,4
osrg/gobgp,118.53333333333333,15
zentures/surgemq,46.0,1
oklog/ulid,43.0,2
docker/cli,46.009433962264154,106
dzhou121/gonvim,193.0,1
swaggo/swag,61.2,5
facebookincubator/ent,141.0,2
kubernetes/kube-state-metrics,47.4,20
gdamore/tcell,63.5,2
GoogleCloudPlatform/golang-samples,30.52,25
vzex/dog-tunnel,71.5,2
golang/proposal,13.416666666666666,12
Shopify/go-lua,39.0,5
egonelbre/gophers,159.0,1
golang/example,10.0,1
liuchengxu/blockchain-tutorial,54.0,1
go-ini/ini,216.0,1
dunglas/mercure,113.5,2
liangdas/mqant,210.0,1
hlandau/acmetool,390.0,1
confluentinc/confluent-kafka-go,71.0,3
containers/skopeo,84.92307692307692,13
bradfitz/http2,106.33333333333333,3
s-rah/onionscan,37.666666666666664,3
segmentio/ksuid,44.0,1
magefile/mage,117.0,1
jasonlvhit/gocron,18.833333333333332,6
kubernetes/test-infra,123.57142857142857,210
subfinder/subfinder,99.0,4
matcornic/hermes,28.0,2
rexray/rexray,296.7142857142857,7
zquestz/s,101.66666666666667,3
gocql/gocql,47.21875,32
GoogleChromeLabs/simplehttp2server,61.0,1
uber-common/cpustat,40.0,2
MariaLetta/free-gophers-pack,11.0,1
googleforgames/open-match,89.16666666666667,6
Jeffail/gabs,50.0,1
kubernetes/kubeadm,51.333333333333336,9
chain/chain,208.1875,16
gopl-zh/gopl-zh.github.com,76.1,10
zachlatta/sshtron,36.333333333333336,3
